category,Total Sales
2019-01-02,12
2019-01-04,11
2019-01-05,31
2019-01-07,18
2019-01-08,11
2019-01-09,19
2019-01-10,47
2019-01-11,3
2019-01-12,6
2019-01-14,3
2019-01-15,6
2019-01-16,10
2019-01-17,3
2019-01-18,13
2019-01-19,4
2019-01-21,15
2019-01-22,1
2019-01-23,16
2019-01-25,10
2019-01-26,22
2019-01-27,31
2019-01-28,32
2019-01-29,38
2019-01-30,51
2019-01-31,12
2019-02-01,59
2019-02-02,94
2019-02-03,6
2019-02-04,3
2019-02-05,28
2019-02-06,13
2019-02-07,5
2019-02-08,13
2019-02-09,5
2019-02-11,5
2019-02-12,11
2019-02-13,8
2019-02-14,5
2019-02-15,18
2019-02-16,2
2019-02-18,13
2019-02-19,5
2019-02-20,5
2019-02-21,59
2019-02-22,3
2019-02-24,20
2019-02-25,3
2019-02-26,9
2019-02-27,21
2019-02-28,24
2019-03-01,19
2019-03-02,17
2019-03-04,9
2019-03-05,1
2019-03-06,8
2019-03-07,10
2019-03-08,13
2019-03-11,3
2019-03-12,7
2019-03-13,15
2019-03-14,8
2019-03-15,14
2019-03-16,16
2019-03-18,7
2019-03-19,13
2019-03-20,7
2019-03-21,5
2019-03-22,5
2019-03-23,17
2019-03-25,16
2019-03-26,11
2019-03-27,13
2019-03-28,10
2019-03-29,37
2019-03-30,32
2019-04-01,9
2019-04-02,12
2019-04-03,9
2019-04-04,9
2019-04-05,12
2019-04-06,3
2019-04-08,7
2019-04-09,24
2019-04-10,3
2019-04-11,4
2019-04-12,77
2019-04-13,10
2019-04-15,15
2019-04-16,36
2019-04-17,15
2019-04-18,3
2019-04-19,19
2019-04-20,15
2019-04-21,34
2019-04-22,179
2019-04-23,54
2019-04-24,13
2019-04-25,8
2019-04-26,12
2019-04-27,31
2019-04-28,14
2019-04-29,12
2019-04-30,12
2019-05-01,12
2019-05-02,6
2019-05-03,5
2019-05-04,18
2019-05-07,4
2019-05-08,15
2019-05-09,4
2019-05-10,7
2019-05-11,23
2019-05-13,16
2019-05-14,6
2019-05-15,4
2019-05-16,3
2019-05-17,13
